Voltage; Resistencia; CO2 PPM;CO2 PPM1 ; RH; Temp
0,32258;14500,00000;842,71806;9070,37514;49,17984;24,17984
0,32581;14346,53465;867,91658;9664,24073;49,14503;24,17412
0,32258;14500,00000;842,71806;9070,37514;49,14503;24,17297
0,32581;14346,53465;867,91658;9664,24073;49,17755;24,17717
0,32258;14500,00000;842,71806;9070,37514;49,19491;24,18499
0,32258;14500,00000;842,71806;9070,37514;49,19863;24,18556
0,32258;14500,00000;842,71806;9070,37514;49,19567;24,19186
0,32581;14346,53465;867,91658;9664,24073;49,18003;24,19319
0,32258;14500,00000;842,71806;9070,37514;49,13645;24,18766
0,32258;14500,00000;842,71806;9070,37514;49,12157;24,18308
0,32258;14500,00000;842,71806;9070,37514;49,12386;24,18175
0,32258;14500,00000;842,71806;9070,37514;49,11690;24,18270
0,32258;14500,00000;842,71806;9070,37514;49,09286;24,18442
0,32258;14500,00000;842,71806;9070,37514;49,10603;24,18346
0,32258;14500,00000;842,71806;9070,37514;49,06721;24,18633
0,32258;14500,00000;842,71806;9070,37514;49,04613;24,18175
0,32258;14500,00000;842,71806;9070,37514;49,06893;24,17889
0,32258;14500,00000;842,71806;9070,37514;49,08648;24,18842
0,31935;14656,56566;818,02566;8507,95384;49,07827;24,18308
0,32258;14500,00000;842,71806;9070,37514;49,05891;24,18346
0,32258;14500,00000;842,71806;9070,37514;49,08590;24,18137
0,32258;14500,00000;842,71806;9070,37514;49,09773;24,18346
0,32258;14500,00000;842,71806;9070,37514;49,07970;24,18041
0,32258;14500,00000;842,71806;9070,37514;49,07293;24,17927
0,32258;14500,00000;842,71806;9070,37514;49,09229;24,17927
0,32258;14500,00000;842,71806;9070,37514;49,10402;24,17545
0,32258;14500,00000;842,71806;9070,37514;49,10688;24,17679
0,32258;14500,00000;842,71806;9070,37514;49,12767;24,17583
0,32258;14500,00000;842,71806;9070,37514;49,13759;24,18251
0,32258;14500,00000;842,71806;9070,37514;49,13235;24,18137
0,32258;14500,00000;842,71806;9070,37514;49,14494;24,18385
0,32258;14500,00000;842,71806;9070,37514;49,11079;24,19071
0,32258;14500,00000;842,71806;9070,37514;49,09163;24,19777
0,31935;14656,56566;818,02566;8507,95384;49,09506;24,19529
0,31935;14656,56566;818,02566;8507,95384;49,07322;24,19147
0,31935;14656,56566;818,02566;8507,95384;49,03355;24,19109
0,31935;14656,56566;818,02566;8507,95384;49,03469;24,19281
0,31935;14656,56566;818,02566;8507,95384;49,01838;24,19357
0,31935;14656,56566;818,02566;8507,95384;49,01018;24,18671
0,31935;14656,56566;818,02566;8507,95384;48,97985;24,18308
0,31935;14656,56566;818,02566;8507,95384;48,98596;24,17927
0,31935;14656,56566;818,02566;8507,95384;48,96984;24,17641
0,31935;14656,56566;818,02566;8507,95384;49,01323;24,18308
0,31935;14656,56566;818,02566;8507,95384;49,05405;24,17946
0,31935;14656,56566;818,02566;8507,95384;49,01867;24,17278
0,31935;14656,56566;818,02566;8507,95384;48,92712;24,17164
0,31935;14656,56566;818,02566;8507,95384;49,00970;24,16954
0,31935;14656,56566;818,02566;8507,95384;49,01943;24,16878
0,31935;14656,56566;818,02566;8507,95384;49,05386;24,17011
0,31935;14656,56566;818,02566;8507,95384;49,05958;24,17469
0,31935;14656,56566;818,02566;8507,95384;49,03774;24,17412
0,31935;14656,56566;818,02566;8507,95384;49,01781;24,16458
0,31935;14656,56566;818,02566;8507,95384;49,02048;24,17202
0,31935;14656,56566;818,02566;8507,95384;49,01085;24,16725
0,31935;14656,56566;818,02566;8507,95384;48,98129;24,15581
0,31935;14656,56566;818,02566;8507,95384;48,97013;24,15180
0,31935;14656,56566;818,02566;8507,95384;48,99940;24,15352
0,31935;14656,56566;818,02566;8507,95384;49,00389;24,15352
0,31935;14656,56566;818,02566;8507,95384;48,99197;24,14989
0,31935;14656,56566;818,02566;8507,95384;48,99588;24,15390
0,31935;14656,56566;818,02566;8507,95384;49,02811;24,15504
0,31935;14656,56566;818,02566;8507,95384;49,01981;24,15829
0,31935;14656,56566;818,02566;8507,95384;49,01075;24,16916
0,31935;14656,56566;818,02566;8507,95384;48,92244;24,16458
0,31935;14656,56566;818,02566;8507,95384;49,01218;24,16801
0,31613;14816,32653;793,83349;7975,57693;48,99511;24,16954
0,31935;14656,56566;818,02566;8507,95384;49,00742;24,16420
0,31613;14816,32653;793,83349;7975,57693;48,97699;24,16344
0,31935;14656,56566;818,02566;8507,95384;49,00417;24,16782
0,31935;14656,56566;818,02566;8507,95384;49,01972;24,16744
0,31613;14816,32653;793,83349;7975,57693;49,02678;24,16592
0,31613;14816,32653;793,83349;7975,57693;49,00169;24,16344
0,31613;14816,32653;793,83349;7975,57693;48,95344;24,16306
0,31613;14816,32653;793,83349;7975,57693;48,96584;24,16840
0,31613;14816,32653;793,83349;7975,57693;48,96612;24,16248
0,31613;14816,32653;793,83349;7975,57693;48,96116;24,16782
0,31613;14816,32653;793,83349;7975,57693;48,94161;24,16344
0,31613;14816,32653;793,83349;7975,57693;48,94209;24,16306
